RESPONSES,LEVEL KOMPETENSI
"Integritas; Penerapan kepatuhan terhadap aturan dan norma di antara organisasi masih belum optimal. Salah satu dimensi dari upaya pemerintah untuk mengedepankan pentingnya peran etika dalam Peraturan Pemerintah Nomor 42 Tahun 2004 tentang Pembinaan Jiwa Korps dan Kode Etik PNS yang mengarahkan setiap PNS untuk tetap berada pada norma norma etis tertentu dalam melaksanakan tugas dan wewenangnya dalam proses penyelenggaraan pemerintahan adalah menjalin kerjasama secara kooperatif dengan unit kerja lain yang terkait dalam rangka pencapaian tujuan. Sebagai Kepala Bagian saya berhak mengetahui APBD Kabupaten Ciamis, namun ketika meminta informasi kepada instansi terkait informasi tersebut saya tidak mendapatkannya. Saya menyikapinya dengan menjelaskan keperluan saya.",2
"Integritas; Konflik antara kepentingan pribadi dan pekerjaan  Harus ada pemisahan  pembagian waktu  antara urusan pribadi dan pekerjaan, urusan pribadi sebaiknya dilakukan diluar jam kerja. Skala prioritas pekerjaan menjadi bahan pertimbangan, apabila dapat didelegasikan diwakilkan kepada staf atau tidak apabila pekerjaan tersebut sangat penting rahasia, tidak dapat diwakilkan didelegasikan ke staf, kepentingan pribadi harus dilakukan setelah pekerjaan tersebut selesai",2
Integritas; Kepatuhan terhadap aturan dan norma belum dapat dilaksanakan secara optimal sesama rekan kerja organisasi  Jam kerja per hari   8 jam masih ada rekan kerja pelaksana yang mangkir keluar pada saat jam kerja untuk kepentingan pribadi yang dapat dilakukan diluar jam kerja.  Solusi  Memberikan arahan masukan untuk melaksanakan kepentingan pribadi diluar jam kerja kecuali sifatnya emergency. Mendistribusikan tugas dengan memberikan spent waktu berapa jam pekerjaan tersebut harus selesai. ,2
"Integritas; Suatu ketika, di tahun 2004. Waktu itu saya Subag Penyusunan Program pada Bagian Pengendalian Program Setda, mendapat perintah dari ASDA II  posisi beliau di Jakarta  untuk menyiapkan bahan paparan Bupati kepada Gubernur Jawa Barat bersama kawan dari Bappeda Saya bertugas menyiapkan materi dan kawan dari Bappeda bertugas mengolahnya dalam format Power Point, dan harus selesai hari itu juga maksimal jam 19.00. materi harus siap dan diserahkan kepada ASDA II. Sekira pukul.14.15 tugas saya sudah selesai dan saya serahkan kepada kawan dari Bappeda untuk diolah. Sekira pukul 14.30 saya mendapat telepon dari istri di Bandung yang mengatakan sudah pecah ketuban dan akan segera ke Rumah Sakit. Yang akan lahir adalah anak yang kedua dan pada pemeriksaan dokter terakhir posisi bayi masih sungsang. Pada kelahiran anak yang pertama saya tidak mendampingi istri, karena pada waktu itu saya masih bekerja di Medan Sumatera Utara dan istri di Bandung. Mengumpulkan keberanian dan dengan harap harap cemas, sekira pukul 15.00, saya menelepon ASDA II untuk meminta ijin pergi ke Bandung dan menjelaskan progres serta isi materi bahan paparan Bupati sekitar 7 menit, Allhamdulillah ijin diberikan. Sekira 30 menit kemudian, di dalam Bus Umum, kembali saya mendapat telepon dari istri bahwa anak kedua kami  PEREMPUAN. Alhamdulilah. Dan kembali tidak bisa mendampingi istri saat melahirkan.",4
"Integritas;  Sekira Mei 2019. Situasi yang umum terjadi adalah saat kehadiran pegawai sudah menggunakan teknologi informasi  mesin absensi  dimana data, terutama keterlambatan masuk kantor sangat mudah diketahui. Saat itu, beberapa pegawai ada yang  langganan  terlambat masuk kantor dan menjadi gunjingan. Ditegur berkali kalipun masih saja seperti itu tabiatnya. Atasan Langsung yang bersangkutan kebanyakan enggan untuk menjatuhkan hukdis dengan berbagai alasan. Sekretaris Dinas datang kepada saya  Kepala Bidang  meminta saya menginformsikan menjelaskan tentang disiplin pegawai dan untuk mengatasi masalah tersebut, terutama karena saya pernah menjabat Kasubid Pembinaan Pegawai BKDD  BKPSDM sekarang . Saya menyangupinya. Saya minta rekap data kehadiran seluruh pegawai. Menghitung keterlambatannya. Mengakumilasikannya dalam jam dan hari, Dan karena waktu itu bulan kelima, beberapa diantara pegawai sudah harus mendapatkan Hukdis Ringan dan Sedang. Atas ijin Kadis, data saya paparkan dengan dalam Rapat Dinas, dengan sedikit  mendramatisir  konsekuensi hukuman bertingkat apabila atasan langsung tidak memproses pelanggaran disiplin tersebut. Singkat cerita  shock teraphy  tersebut diatas disadari oleh semua pihak. Dan dengan kesadaran semua pihak, pegawai yang tidak disiplin membuat surat pernyataan diatas materai mengakui kesalahan, memohon maaf dan berjanji untuk patuh serta siap menerima hukuman apabila kelak kemudian hari mereka mengulanginya. Surat Pernyataan tersebut dikirimkan ke BKPSDM sebagai laporan pembinaan pegawai. Allhamdulilah, sejak itu disiplin kehadiran pegawai Dinas yang pemalas menjadi lebih baik. Dan wajah mereka juga cerah saat notifikasi transfer uang TPP muncul. He he.he....",4
"Integritas;  Sudah sejak tahun 2007 saya memiliki lahan kebun yang digarap oleh penduduk setempat di wilayah Kabupaten Ciamis, yang ditanami tanaman kayu tumpang sari dengan tanaman perkebunan. Dua tahun lalu saya mulai bertugas di Dinas Pertanian dan Ketahanan Pangan sebagai Kepala Bidang Penyuluhan yang salah satu fungsinya penyiapan sarana prasarana dan bahan penguatan, pengembangan, dan peningkatan kapasitas kelembagaan penyuluhan dan kelembagaan petani, termasuk memberikan rekomendasi proposal untuk mendapatkan bantuan pemerintah. Saat petani penggarap kebun menyampaikan permintaan agar bisa memperoleh bantuan pemerintah untuk lahan tersebut, hal yang saya lakukan adalah    mendengarkan dengan baik informasi kebutuhannya   menyampaikan bahwa saya tidak akan bisa memenuhi permintaan untuk difasilitasi pengusulan bantuan, dalam rangka menerapkan prinsip moral dan standar etika serta kode etik pada tataran lingkup kerja   mendiskusikan kebutuhan yang prioritas untuk kemudian didanai dengan menggunakan 100  dana pribadi.",3
"Integritas;  Ya, pernah. Diantaranya terkait hal kewajiban PNS Masuk kerja dan menaati ketentuan  jam kerja. Terkait dengan pemenuhan jam kerja dengan penggunaan absen elektronik  finger retina print  di lingkup Pemerintah Kabupaten Ciamis yang dimulai pukul 07.00 WIB untuk jam masuk kerja, dan jam 15.15 WIB, masih terdapat pegawai yang memanfaatkan hal tersebut hanya sekedar memenuhi  kewajiban absensi  datang untuk mengisi absen elektornik, namun selama jam kerja yang bersangkutan tidak ada di tempat kerja tanpa ada penugasan dari atasanya, tidak melapor pada atasannya tanpa keterangan. Yang saya lakukan adalah memanggil atasan langsung yang bersangkutan dan Kepala Sub Bagian Umum dan Kepegawaian serta memerintahkan untuk melakukan pembinaan. Sehubungan yang bersangkutan masih belum ada perubahan, kemudian memanggil yang bersangkutan, mengajaknya berbicara dan menanyakan kemana dan apa saja yang dilakukan selama jam kerja, apakah ada permasalahan kesehatan atau lainnya. Kemudian karena tidak ada  uzur    halangan yang berat sehingga yang bersangkutan seharusnya bisa menaati kewajiban masuk kerja, walaupun yang bersangkutan ada hubungan kerabat dengan salah satu pejabat daerah Pemerintah Kabupaten Ciamis, maka selaku pembina kepegawaian memberinya teguran lisan, dan bila masih belum ada perbaikan dibuat teguran tertulis. Selanjutnya diproses sesuai peraturan yang berlaku.",3
"Integritas; Sewaktu isteri saya melahirkan anak kami yang pertama saya tidak bisa mendampingi, karena saat itu ada perkerjaan dinas yang harus saya selesaikan, saya sampaikan kepada isteri dan keluarga dan meminta pengertian dari mereka bahwa saat ini saya tidak dapat mendampingi isteri melahirkan karena alasan pekerjaan dinas, dan alhamdulillah isteri dan keluarga bisa memaklumi, dan anak pertama kami lahir dengan selamat dan sehat. ",1
"Integritas; Dulu pada saat masih menduduki jabatan eselon IV, saya mempunyai rekan kerja yang sering datang terlambat namun tidak diberikan sanksi oleh atasan, sedangkan saya selalu aktif masuk kerja dan tepat waktu, saya tidak bereaksi apapun  tentang situasi tersebut, tetapi saya bertekad dalam hati, bahwa yang disiplin yang akan lebih cepat berkembang, karena saya yakin tingkat kedisipinan dengan prestasi yang dicapai akan berbanding lurus. ",1
"Integritas; Ketika orangtua saya sakit dan mengharuskan dibawa ke layanan kesehatan. Sementara volume pekerjaan sedang penuh penuhnya karena sedang menghadapi pelaksanaan Pemantauan BPK. Cara saya menghadapinya dengan meminta bantuan saudara untuk mengantarkan orangtua ke layanan kesehatan. Setelah jam kerja berakhir, saya langsung mendampingi orangtua.",2
Integritas; Rekan kerja sering bolos melaksanakan apel pagi padahal merupakan suatu keharusan bagi ASN. Yang saya lakukan adalah menasehatinya sebagai teman. Hasilnya rekan tersebut melaksakanan apel pagi walaupun masih belum setiap hari.,2
"Integritas; Ketika Istri harus dirawat di Rumah Sakit Umum, sedang tugas pekerjaan banyak dan harus dilaksanakan, adapun untuk menghadapi tetap bertanggungjawab atas pekerjaan dan merawat istri,   Yang saya lakukan dengan membagi waktu serta meminta bantuan saudara dalam merawat Istri, selama saya melaksanakan pekerjaan. Pekerjaan harus saya selesaikan dulu sesuai dengan tangung jawab saya. ",1
"Integritas; Dikerenakan ada 2 kegiatan yang penting, maka Saya menugaskan rekan kerja untuk mewakili saya, ketika ditugaskan ternyata tidak hadir pada waktunya, oleh sebab itu untuk menyikapinya saya suka menugaskan rekan lain untuk membantu mengerjakan tugas agar sesuai waktu selesai seandainya rekan yang awal tidak hadir ",1
"Integritas; Pada Tahun 2005 saat menjadi Kasubag Pertanahan di Setda, pada waktu pembebasan tanah. Uang pembebasannya sudah cair untuk dibayarkan kepada pemilik tanah, disisi lain saya sedang sangat membutuhkan uang. Peluang untuk memperoleh uang dari pemilik tanah cukup terbuka dengan dalih untuk biaya pengurusan a, b, c, akan tetapi saya saat itu tidak melakukannya karena berfikir bahwa uang ini bukan hak saya tapi hak pemilik tanah dan saya tidak mau terjerat masalah hukum, sehingga saya merealisasikan pembayaran tersebut tanpa dipotong sedikitpun kecuali untuk pembayaran pajak.",2
"Integritas; Di beberapa tempat kerja, saya merasakan penerapan kepatuhan terhadap aturan dan norma di antara rekan kerja atau organisasi masih belum optimal, seperti terdapat bawahan dan rekan yang sering terlambat apel pagi, terlambat kembali ke kantor setelah jam istirahat, main game saat jam kerja. Yang saya lakukan pada saat situasi tersebut adalah saya suka menyapa langsung yang bersangkutan atau mengajak ngobrol untuk memberi masukan, sampai pernah di Bagian Pemerintahan Setda saat itu membuat motto  Disiplin, Loyalitas dan Semangat  juga pada saat breefing hal tersebut sering saya sampaikan. Kalau pada saat menjadi Kabid Tibum saya pernah menghukum anggota dengan hukuman fisik berupa lari bagi anggota yang tidak mematuhi aturan",2
"Integritas; Suatu ketika sewaktu saya jadi Kuasa BUD  Bendahara Umum Daerah  ada seseorang Pihak Ketiga  teman sekolah  minta bantuan untuk percepatan pencairan pembayaran untuk meminta kemudahan dalam hal persyaratan yang harus dilengkapi, karena teman saya itu sebelumnya melalui staf di BUD dan ada kekurangan berkas yang harus segera dilengkapi, kemudian saya panggil teman saya tersebut ke kantor dan diberikan pemahaman bahwasanya apa yang staf BUD minta persyaratan tersebut sudah sesuai dengan peraturan yang berlaku, karena kalau didahulukan penerbitan SP2D  Surat Perintah Pencairan Dana  tanpa dilengkapi persyaratan yang benar maka akibatnya saya telah melanggar Peraturan Pemerintah Nomor 12 Tahun 2019 tentang Pengelolaan Keuangan Daerah",2
"Integritas; Pada suatu waktu ada rekan saya memberikan mutasi Barang Milik Daerah tanpa terlebih dahulu dibuat Berita Acara Mutasi Barang antar SKPD, seharusnya sesuai SOP dibuat dulu Berita Acara Serah Terima Barang dan dilaporkan terlebih dahulu ke Pimpinan OPD, karena apabila BMD tersebut diserahkan ke SKPD lainnya dan BMD tersebut hilang maka yang bertanggungjawab secara administrasi dan fisik menganut kepada catatan di KIB  Kartu Inventaris Barang  dimana BMD tersebut tercatat, maka dengan demikian BPKD lah yang harus bertanggungjawab karena BMD tersebut belum dihapuskan di KIB, karena penghapusan KIB harus berdasarkan kepada BAST antar  SKPD atau karena penghapusan, maka pada saat itu saya tarik kembali BMD tersebut serta saya memberikan teguran peringatan kepada rekan kerja, karena hal tersebut bertentangan dengan Peraturan Menteri Dalam Negeri Nomor 19 Tahun 2016 tentang Pedoman Pengelolaan Barang Milik Daerah.",2
"Integritas; Banyak hal yang terkait antara kepentingan pribadi khususnya terkait dengan keluarga dan pekerjaan tetapi semuanya harus berjalan dengan baik. Hal yang dilakukan sebagaiamana yang telah dialami adalah sebagai berikut   Menganalisis secara cepat sejauh mana tingkat kepentingan yang sedang terjadi saat itu, selama kepentingan pribadi masih bisa diselesaikan oleh pihak keluarga tentu saja kepentingan pekerjaan bisa didahulukan.Apabila kepentingan pribadi tidak bisa diselesaikan oleh pihak keluarga, hal yang dilakukan diantaranya pengaturan waktu penyelesaian untuk pekerjaan didahulukan dan setelah itu baru penyelesaian kepentingan pribadi atau keluarga. Apabila kepentingan pribadi wajib didahulukan, prosedur ijin dan aturan akan ditempuh dan kepentingan pekerjaan tetap diselesaikan dengan mengoptimalkan fungsi delegasi dan koordinasi dalam tim efektif dilakukan dengan optimal dengan fungsi controlling melalui komunikasi yang efektif serta tepat pada setiap tahapan pekerjaan yang sedang dilakukan baik itu kepentingan keluarga maupun pribadi untuk memastikan semuanya terselesaikan ",3
"Integritas; 1. Penerapan kepatuhan terhadap aturan dan norma dikaitkan dengan tingkat pekerjaan masih belum optimal sebagaimana yang saya alami juga dikaitkan dengan tempat kerja saya   subag perencanaan dan bidang hortikultura dan perkebunan   diantaranya disebabkan oleh banyak faktor diantaranya tingkat usia, jarak tempat tinggal dan tempat kerja, motivasi kerja menurun, kompleksitas pekerjaan, capaian target pekerjaan dan hal lainnya yang terkadang memerlukan sikap toleransi kepada bawahan saya.  2. Hal yang dilakukan untuk menyelesaikan masalah tersebut diantaranya dengan pemberian reward yang jelas, penyelesaian pekerjaan melalui online di tempat tinggal masing masing apabila pekerjaan tersebut harus selesai diluar jam kerja ataupun penyelesaian online apabila staf saya pada posisi bertugas di tempat yang lain.  3. Selain itu, pembahasan terhadap norma dan aturan kerja yang berlaku pada setiap brifing staf selalu dibahas sebagai pemahaman kepada seluruh staf dalam posisinya sebagai ASN.  4. Berdasarkan pengalaman, masalah tersebut dapat terselesaikan sehingga penerapan kepatuhan dan norma yang ada di dalam organisasi termasuk di dalamnya apel pagi, datang dan pulang tepat waktu, penyelesaian kinerja di unit kerja yang saya pimpin. ",3
"Integritas; Saya belum pernah mengalami kepentingan konflik yang bersifat ekstrim terkait keluarga, misalnya orang tua sakit keras dan memerlukan dijenguk sesegera mungkin ketika saya sedang memiliki pekerjaan yang harus sesegera mungkin diselesaikan. Padahal sebagai seorang ASN telah terikat dalam sumpah yang harus mendahulukan kepentingan umum dibandingkan kepentingan pribadi atau golongan. Bilamana hal itu terjadi maka upaya yang akan dilakukan adalah meminta izin kepada atasan langsung dan meminta bantuan rekan kerja untuk menangani sementara pekerjaan tersebut di atas dengan terlebih dahulu memberikan penjelasan perihal pekerjaan dimaksud. Namun demikian di sisi lain sebagai bagian dari penyelenggara negara, konflik kepentingan pribadi dengan pekerjaan bila tidak dikelola dengan baik, salah satunya akan mendorong ke arah prilaku koruptif dan prilaku menyimpang lainnya dengan memanfaatkan fasilitas jabatan, kelemahan sistem ataupun keinginan untuk memperkaya diri sendiri atau orang lain. Oleh karena itu upaya pencegahan yang paling efektif adalah dengan tetap berpegang teguh pada sumpah ketika dilantik sebagai seorang PNS pegawai dan ketika dilantik sebagai seorang pemegang jabatan. Bahwa sumpah tersebut disamping disaksikan oleh manusia, juga disaksikan oleh Allah SWT  akan dihisab  dikemudian hari kelak , serta memperhatikan perundang  undangan dan kebijakan yang berlaku.",2
"Integritas; Belum pernah. Namun demikian, bila hal itu terjadi maka beberapa hal yang dapat dilakukan adalah   pahami peraturan dan norma yang berlaku dalam organisasi, sering berkomunikasi dengan orang lain pihak lain terkait peraturan dan norma yang menjadi kesepakatan bersama untuk dipatuhi, lakukan identifikasi terhadap aturan dan norma yang belum optimal diterapkan, serta hargai pendapat orang lain.",2
Integritas; Pernah saat hari libur saya mendapatkan undangan untuk menjadi narasumber terkait pembinaan SDM Panwascam di Bawaslu sementara saya sudah merencanakan kepentingan lain bersama keluarga.  Akhirnya saya tetap menghadiri undangan bawaslu dan keluarga berangkat lebih dulu sesuai rencana. Setelah selesai kegiatan di bawaslu kemudian saya menyusul untuk menghadiri acara keluarga.,3
"Integritas; Ya pernah, Kepatuhan terhadap jam kerja merupakan salah satu kewajiban ASN. Pernah terdapat salah satu pegawai yang mangkir kerja beberapa hari. Hal itu membuat kecemburuan sosial diantara rekan kerja. Saya selaku Plt. Kepala BKPSDM memerintahkan kepada atasan langsung yang bersangkutan untuk melakukan pemanggilan dan sudah 3  tiga  kali pemanggilan yang bersangkutan tidak hadir. Saya dan atasan langsung mendatangi tempat tinggalnya tapi yang bersangkutan tidak ada di tempat. Akhirnya atasan langsung menjatuhkan sanksi disiplin sesuai kewenangan berupa pernyataan tidak puas dan disampaikan kepada keluarga yang bersangkutan. Setelah sanksi tersebut yang bersangkutan kembali masuk kerja dan saya lakukan pembinaan dan memotivasi yang bersangkutan untuk melaksanakan tugas dengan baik. Hal ini juga menjadi shock terapi bagi pegawai lainnya",3
"Integritas; Konflik Kepentingan pribadi dan pekerjaan sering kali terjadi terutama dalam waktu yang bersamaan. Dalam menghadapi masalah ini kita harus melihat dulu urgensi dan skala prioritas dalam menyelesaikan permasalahan tersebut, misalnya ketika ada permasalahan pekerjaan yang secepatnya memerlukan penanganan sementara kepentingan pribadi dapat diundur atau diwakilkan kepada saudara yang lain  maka kepentingan pekerjaan menjadi skala prioritas untuk secepatnya diselesaikan. Begitu juga dalam hal sebaliknya apabila ada kepentingan pribadi seperti anak atau istri kita mendapatkan musibah kecelakaan dan secepatnya membutuhkan penanganan kita sebagai suami, sedangkan pekerjaan dapat didelegasikan ke bawahan maka kita akan memprioritaskan keluarga dengan tetap memperhatikan tugas pokok untuk diselesaikan secepatnya dengan bantuan staf dan pegawai yang lain.",3
"Integritas; Pernah, situasinya ketika seluruh pegawai diharuskan untuk mengikuti apel pagi seuai dengan aturan, pada saat itu tidak semua pegawai mengikuti apel pagi, setelah selesai papel pagi saya melakukan pertemuan dengan melakukan tindakan secara persuasif sebagai bentuk teguran secara tidak langsung, dan apada apel berikutnya alhamdulillah para pegawai yang berada di Bagian Kesra mengikuti apel pagi dengan kesadaran yang tidak dipaksakan",3
"Integritas; Kondisi dalam menghadapi konflik antara kepentingan pribadi dan pekerjaan adalah pada saat menyelesaikan permasalahan terhadap pencapaian target kinerja yang dilakukan oleh pejabat lama, dan hasil pemeriksaan temuan pada saat kita menjabat, maka secara keorganisasian temuan tersebut harus ditindaklanjuti oleh pejabat yang baru. Suka atau tidak temuan tersebut harus tetap diselesaikan walaupun harus menyita waktu dan pikiran, agar pelaksanaan tugas lainnya dapat berjalan dengan baik.   adapun yang dilakukan pada saat itu adalah melakukan pengumpulan informasi sebanyak banyaknya, dan mengolah serta klarifikasi kepada orang orang yang berkepentingan pada kasus tersebut, melakukan pendekatan pendekatan secara personal kepada mereka yang terlibat, melakukan koordinasi dengan pihak pihak yang berkepentingan, dan selalu melaksanakan monitoring sejauhmana penyelesaiannya serta progress perkembangan penyelesaian kasus telah dilakukan, intinya memfasilitasi penyelesaian kasus temuan tersebut sampai selesai.",3
