INISIAL ,RESPON,LEVEL KOMPETENSI,English,Summaries
ES,Penerapan kepatuhan terhadap aturan dan norma di antara organisasi masih belum optimal  Salah satu dimensi dari upaya pemerintah untuk mengedepankan pentingnya peran etika dalam Peraturan Pemerintah Nomor 42 Tahun 2004 tentang Pembinaan Jiwa Korps dan Kode Etik PNS yang mengarahkan setiap PNS untuk tetap berada pada norma norma etis tertentu dalam melaksanakan tugas dan wewenangnya dalam proses penyelenggaraan pemerintahan adalah menjalin kerjasama secara kooperatif dengan unit kerja lain yang terkait dalam rangka pencapaian tujuan  Sebagai Kepala Bagian saya berhak mengetahui APBD Kabupaten Ciamis  namun ketika meminta informasi kepada instansi terkait informasi tersebut saya tidak mendapatkannya  Saya menyikapinya dengan menjelaskan keperluan saya ,2,"Implementation of compliance with rules and norms among organizations is still not optimal. One dimension of the government's efforts to prioritize the importance of the role of ethics in Government Regulation Number 42 of 2004 concerning the Development of Corps Spirit and the Code of Ethics for Civil Servants which directs each civil servant to adhere to certain ethical norms. in carrying out its duties and authority in the process of administering government, it is to collaborate cooperatively with other related work units in order to achieve objectives. As Head of Division, I have the right to know the Ciamis Regency APBD, but when I asked for information from the relevant agency, I did not get it. I responded by explaining the need. I",The head of the Ciamis Regency APBD says compliance with rules and norms is still not optimal.
SP,Konflik antara kepentingan pribadi dan pekerjaan  Harus ada pemisahan  pembagian waktu  antara urusan pribadi dan pekerjaan  urusan pribadi sebaiknya dilakukan diluar jam kerja  Skala prioritas pekerjaan menjadi bahan pertimbangan  apabila dapat didelegasikan diwakilkan kepada staf atau tidak apabila pekerjaan tersebut sangat penting rahasia  tidak dapat diwakilkan didelegasikan ke staf  kepentingan pribadi harus dilakukan setelah pekerjaan tersebut selesai,2,"Conflict between personal interests and work. There must be a separation of time between personal matters and work. Personal matters should be done outside working hours. The priority scale of work is a consideration whether it can be delegated to staff or not. If the work is very important, confidential cannot be delegated to staff. Interests must be carried out after the work is completed",There must be a separation of time between personal matters and work.
SP,Kepatuhan terhadap aturan dan norma belum dapat dilaksanakan secara optimal sesama rekan kerja organisasi  Jam kerja per hari   8 jam masih ada rekan kerja pelaksana yang mangkir keluar pada saat jam kerja untuk kepentingan pribadi yang dapat dilakukan diluar jam kerja   Solusi  Memberikan arahan masukan untuk melaksanakan kepentingan pribadi diluar jam kerja kecuali sifatnya emergency  Mendistribusikan tugas dengan memberikan spent waktu berapa jam pekerjaan tersebut harus selesai  ,2,Compliance with rules and norms cannot be implemented optimally among co-workers in the organization. Working hours per day are 8 hours. There are still co-workers who are absent from work during working hours for personal interests which can be done outside of working hours. Solution Providing guidance and input to carry out personal interests outside of working hours. working hours unless it is an emergency. Distribute tasks by giving a time spent in how many hours the work must be completed,There are still co-workers who are absent from work during working hours for personal interests.
S,Suatu ketika  di tahun 2004  Waktu itu saya Subag Penyusunan Program pada Bagian Pengendalian Program Setda  mendapat perintah dari ASDA II  posisi beliau di Jakarta  untuk menyiapkan bahan paparan Bupati kepada Gubernur Jawa Barat bersama kawan dari Bappeda Saya bertugas menyiapkan materi dan kawan dari Bappeda bertugas mengolahnya dalam format Power Point  dan harus selesai hari itu juga maksimal jam 19 00  materi harus siap dan diserahkan kepada ASDA II  Sekira pukul 14 15 tugas saya sudah selesai dan saya serahkan kepada kawan dari Bappeda untuk diolah  Sekira pukul 14 30 saya mendapat telepon dari istri di Bandung yang mengatakan sudah pecah ketuban dan akan segera ke Rumah Sakit  Yang akan lahir adalah anak yang kedua dan pada pemeriksaan dokter terakhir posisi bayi masih sungsang  Pada kelahiran anak yang pertama saya tidak mendampingi istri  karena pada waktu itu saya masih bekerja di Medan Sumatera Utara dan istri di Bandung  Mengumpulkan keberanian dan dengan harap harap cemas  sekira pukul 15 00  saya menelepon ASDA II untuk meminta ijin pergi ke Bandung dan menjelaskan progres serta isi materi bahan paparan Bupati sekitar 7 menit  Allhamdulillah ijin diberikan  Sekira 30 menit kemudian  di dalam Bus Umum  kembali saya mendapat telepon dari istri bahwa anak kedua kami  PEREMPUAN  Alhamdulilah  Dan kembali tidak bisa mendampingi istri saat melahirkan ,4,"One time in 2004, at that time I was Subdivision of Program Preparation in the Program Control Section of the Regional Secretariat, I received an order from ASDA II, his position was in Jakarta to prepare material for the Regent's presentation to the Governor of West Java together with friends from Bappeda. I was in charge of preparing the material and friends from Bappeda were in charge of processing it in format. Power Point and must be finished that day at a maximum of 19 00. The material must be ready and submitted to ASDA II. At around 14 15 my assignment was finished and I handed it over to a friend from Bappeda for processing. At around 14 30 I got a call from my wife in Bandung who said My membranes have broken and I will immediately go to the hospital. What will be born is the second child and at the last doctor's examination the baby's position was still breech. At the birth of the first child I did not accompany my wife because at that time I was still working in Medan, North Sumatra and my wife was in Bandung. Collect courage and with great anticipation, at around 15.00 I called ASDA II to ask for permission to go to Bandung and explain the progress and content of the Regent's presentation material in about 7 minutes. Thank God permission was granted. Approximately 30 minutes later on the public bus again I got a call from my wife that Our second child is a GIRL. Thank God, Dan was again unable to accompany his wife when she gave birth",Dan was unable to accompany his wife when she gave birth to their second child.
S, Sekira Mei 2019  Situasi yang umum terjadi adalah saat kehadiran pegawai sudah menggunakan teknologi informasi  mesin absensi  dimana data  terutama keterlambatan masuk kantor sangat mudah diketahui  Saat itu  beberapa pegawai ada yang  langganan  terlambat masuk kantor dan menjadi gunjingan  Ditegur berkali kalipun masih saja seperti itu tabiatnya  Atasan Langsung yang bersangkutan kebanyakan enggan untuk menjatuhkan hukdis dengan berbagai alasan  Sekretaris Dinas datang kepada saya  Kepala Bidang  meminta saya menginformsikan menjelaskan tentang disiplin pegawai dan untuk mengatasi masalah tersebut  terutama karena saya pernah menjabat Kasubid Pembinaan Pegawai BKDD  BKPSDM sekarang   Saya menyangupinya  Saya minta rekap data kehadiran seluruh pegawai  Menghitung keterlambatannya  Mengakumilasikannya dalam jam dan hari  Dan karena waktu itu bulan kelima  beberapa diantara pegawai sudah harus mendapatkan Hukdis Ringan dan Sedang  Atas ijin Kadis  data saya paparkan dengan dalam Rapat Dinas  dengan sedikit  mendramatisir  konsekuensi hukuman bertingkat apabila atasan langsung tidak memproses pelanggaran disiplin tersebut  Singkat cerita  shock teraphy  tersebut diatas disadari oleh semua pihak  Dan dengan kesadaran semua pihak  pegawai yang tidak disiplin membuat surat pernyataan diatas materai mengakui kesalahan  memohon maaf dan berjanji untuk patuh serta siap menerima hukuman apabila kelak kemudian hari mereka mengulanginya  Surat Pernyataan tersebut dikirimkan ke BKPSDM sebagai laporan pembinaan pegawai  Allhamdulilah  sejak itu disiplin kehadiran pegawai Dinas yang pemalas menjadi lebih baik  Dan wajah mereka juga cerah saat notifikasi transfer uang TPP muncul  He he he    ,4,"Around May 2019, a common situation that occurred was when employees were using attendance machine information technology where data, especially late entry to the office, was very easy to find out. At that time, several employees regularly entered the office late and became gossips. Even though they were reprimanded many times, this was still the behavior of the Direct Supervisor. Most of the people concerned were reluctant to drop hukdis for various reasons. The Service Secretary came to me. The Head of Division asked me to provide information explaining employee discipline and to overcome this problem, especially because I once served as Head of the BKDD BKPSDM Employee Development Sub-Division. Now I agreed. I asked for a recap of the attendance data for all employees. Calculating the tardiness. Accumulating it in hours and days And because it was the fifth month, some of the employees had to get Light and Medium Hukdis. With the permission of the Head of the Data Department, I explained it at the Service Meeting with a little dramatization of the consequences of multi-level punishment if the direct superior did not process the disciplinary violation. Short story of shock therapy. above, it is realized by all parties. And with the awareness of all parties, employees who are not disciplined make a statement letter on a stamp, admitting their mistake, apologizing and promising to obey and be ready to accept punishment if in the future they repeat it. The statement letter is sent to BKPSDM as a report on employee development. Alhamdulilah since then The discipline in the presence of lazy Service employees has become better. And their faces also brighten when the TPP money transfer notification appears He he he","Around May 2019, a common situation that occurred was when employees were using attendance machine information technology."
A, Sudah sejak tahun 2007 saya memiliki lahan kebun yang digarap oleh penduduk setempat di wilayah Kabupaten Ciamis  yang ditanami tanaman kayu tumpang sari dengan tanaman perkebunan  Dua tahun lalu saya mulai bertugas di Dinas Pertanian dan Ketahanan Pangan sebagai Kepala Bidang Penyuluhan yang salah satu fungsinya penyiapan sarana prasarana dan bahan penguatan  pengembangan  dan peningkatan kapasitas kelembagaan penyuluhan dan kelembagaan petani  termasuk memberikan rekomendasi proposal untuk mendapatkan bantuan pemerintah  Saat petani penggarap kebun menyampaikan permintaan agar bisa memperoleh bantuan pemerintah untuk lahan tersebut  hal yang saya lakukan adalah    mendengarkan dengan baik informasi kebutuhannya   menyampaikan bahwa saya tidak akan bisa memenuhi permintaan untuk difasilitasi pengusulan bantuan  dalam rangka menerapkan prinsip moral dan standar etika serta kode etik pada tataran lingkup kerja   mendiskusikan kebutuhan yang prioritas untuk kemudian didanai dengan menggunakan 100  dana pribadi ,3,"Since 2007 I have had garden land cultivated by local residents in the Ciamis Regency area which is planted with wood crops intercropping with plantation crops. Two years ago I started working at the Department of Agriculture and Food Security as Head of the Extension Division, one of whose functions is preparing infrastructure and facilities. materials for strengthening development and increasing the capacity of extension institutions and farmer institutions, including providing recommendations for proposals to obtain government assistance. When farmers working on plantations submit requests to be able to obtain government assistance for the land, what I do is listen carefully to information about their needs and convey that I will not be able to fulfill them. request to be facilitated in proposing assistance in order to implement moral principles and ethical standards as well as codes of ethics at the scope of work level discussing priority needs to then be funded using 100% of personal funds",Since 2007 I have had garden land cultivated by local residents in the Ciamis Regency area.
A, Ya  pernah  Diantaranya terkait hal kewajiban PNS Masuk kerja dan menaati ketentuan  jam kerja  Terkait dengan pemenuhan jam kerja dengan penggunaan absen elektronik  finger retina print  di lingkup Pemerintah Kabupaten Ciamis yang dimulai pukul 07 00 WIB untuk jam masuk kerja  dan jam 15 15 WIB  masih terdapat pegawai yang memanfaatkan hal tersebut hanya sekedar memenuhi  kewajiban absensi  datang untuk mengisi absen elektornik  namun selama jam kerja yang bersangkutan tidak ada di tempat kerja tanpa ada penugasan dari atasanya  tidak melapor pada atasannya tanpa keterangan  Yang saya lakukan adalah memanggil atasan langsung yang bersangkutan dan Kepala Sub Bagian Umum dan Kepegawaian serta memerintahkan untuk melakukan pembinaan  Sehubungan yang bersangkutan masih belum ada perubahan  kemudian memanggil yang bersangkutan  mengajaknya berbicara dan menanyakan kemana dan apa saja yang dilakukan selama jam kerja  apakah ada permasalahan kesehatan atau lainnya  Kemudian karena tidak ada  uzur    halangan yang berat sehingga yang bersangkutan seharusnya bisa menaati kewajiban masuk kerja  walaupun yang bersangkutan ada hubungan kerabat dengan salah satu pejabat daerah Pemerintah Kabupaten Ciamis  maka selaku pembina kepegawaian memberinya teguran lisan  dan bila masih belum ada perbaikan dibuat teguran tertulis  Selanjutnya diproses sesuai peraturan yang berlaku ,3,"Yes, there are, among other things, related to civil servants' obligations to go to work and comply with the provisions of working hours. Related to fulfilling working hours by using finger retina print electronic absences within the Ciamis Regency Government which starts at 07.00 WIB for work entry times and at 15.00 WIB there are still employees who taking advantage of this just to fulfill the attendance obligation to come to fill in electronic absences, but during working hours the person concerned was not at work without an assignment from his superior, did not report to his superior without explanation. What I did was call the direct superior concerned and the Head of the General Sub-Section and Staffing and ordering to carry out guidance. Regarding the person concerned, there is still no change, then call the person concerned, invite him to talk and ask where and what he does during working hours, whether there are health problems or other things. Then, because there are no serious obstacles, the person concerned should be able to comply. The obligation to go to work even though the person concerned is related to one of the regional officials of the Ciamis Regency Government, as a personnel supervisor, gives him a verbal warning and if there is still no improvement, a written warning is made. Then it is processed according to the applicable regulations.",There are still employees who taking advantage of this just to fulfill the attendance obligation to come to fill in electronic absences.
FS,Sewaktu isteri saya melahirkan anak kami yang pertama saya tidak bisa mendampingi  karena saat itu ada perkerjaan dinas yang harus saya selesaikan  saya sampaikan kepada isteri dan keluarga dan meminta pengertian dari mereka bahwa saat ini saya tidak dapat mendampingi isteri melahirkan karena alasan pekerjaan dinas  dan alhamdulillah isteri dan keluarga bisa memaklumi  dan anak pertama kami lahir dengan selamat dan sehat  ,1,"When my wife gave birth to our first child, I could not accompany her because at that time there was official work that I had to complete. I conveyed it to my wife and family and asked for their understanding that at this time I could not accompany my wife to give birth due to official work and thank God, my wife and the family was able to understand and our first child was born safe and healthy","When my wife gave birth to our first child, I could not accompany her because of official work."
FS,Dulu pada saat masih menduduki jabatan eselon IV  saya mempunyai rekan kerja yang sering datang terlambat namun tidak diberikan sanksi oleh atasan  sedangkan saya selalu aktif masuk kerja dan tepat waktu  saya tidak bereaksi apapun  tentang situasi tersebut  tetapi saya bertekad dalam hati  bahwa yang disiplin yang akan lebih cepat berkembang  karena saya yakin tingkat kedisipinan dengan prestasi yang dicapai akan berbanding lurus  ,1,"In the past, when I was still in echelon IV, I had a co-worker who often came late but was not sanctioned by the superior, whereas I always actively came to work and was on time. I did not react in any way to the situation, but I was determined in my heart that the disciplined person would be quicker. develop because I believe that the level of discipline and the achievements achieved will be directly proportional","In the past, when I was still in echelon IV, I had a co-worker who often came late but was not sanctioned by the superior."
HR,Ketika orangtua saya sakit dan mengharuskan dibawa ke layanan kesehatan  Sementara volume pekerjaan sedang penuh penuhnya karena sedang menghadapi pelaksanaan Pemantauan BPK  Cara saya menghadapinya dengan meminta bantuan saudara untuk mengantarkan orangtua ke layanan kesehatan  Setelah jam kerja berakhir  saya langsung mendampingi orangtua ,2,"When my parents were sick and needed to be taken to health services. Meanwhile the volume of work was at full capacity because I was facing the implementation of BPK Monitoring. The way I dealt with it was by asking for help from relatives to take my parents to health services. After working hours ended, I immediately accompanied my parents.","When my parents were sick and needed to be taken to health services, I immediately accompanied them."
HR,Rekan kerja sering bolos melaksanakan apel pagi padahal merupakan suatu keharusan bagi ASN  Yang saya lakukan adalah menasehatinya sebagai teman  Hasilnya rekan tersebut melaksakanan apel pagi walaupun masih belum setiap hari ,2,"Colleagues often skip carrying out morning assembly even though it is a necessity for ASN. What I do is advise him as a friend. As a result, the colleague carries out morning assembly even though it is still not every day.",Colleagues often skip carrying out morning assembly even though it is a necessity for ASN.
